"Gene stable ID","Transcript stable ID","UniProtKB/TrEMBL ID","Plant Reactome Reaction ID"
AT1G67070,AT1G67070.1,B0FU48,R-ATH-1119595
AT1G67070,AT1G67070.1,B0FU48,R-ATH-1119628
AT1G67070,AT1G67070.1,A0A178WK67,R-ATH-1119410
AT1G67070,AT1G67070.1,A0A178WK67,R-ATH-1119595
AT1G67070,AT1G67070.1,A0A178WK67,R-ATH-1119628
AT1G67070,AT1G67070.1,B0FU40,R-ATH-1119410
AT1G67070,AT1G67070.1,B0FU40,R-ATH-1119595
AT1G67070,AT1G67070.1,B0FU40,R-ATH-1119628
AT1G67070,AT1G67070.1,B0FU42,R-ATH-1119410
AT1G67070,AT1G67070.1,B0FU42,R-ATH-1119595
AT1G67070,AT1G67070.1,B0FU42,R-ATH-1119628
AT5G10860,AT5G10860.1,A0A178UNP9,R-ATH-1119460
AT5G10860,AT5G10860.1,A0A178UNP9,R-ATH-1119600
AT3G46650,AT3G46650.1,F4J962,R-ATH-1119473
AT3G46650,AT3G46650.1,Q9SNB3,R-ATH-1119473
AT3G46650,AT3G46650.1,A0A178VKB1,R-ATH-1119473
AT2G46110,AT2G46110.1,A0A178VYK2,R-ATH-1119496
AT2G46110,AT2G46110.1,A0A178VYK2,R-ATH-1119544
AT3G11170,AT3G11170.1,A0A178VH06,R-ATH-1119300
AT3G11170,AT3G11170.1,Q56ZV3,R-ATH-1119300
AT3G11170,AT3G11170.1,Q94EW6,R-ATH-1119300
AT3G11170,AT3G11170.1,Q9SWQ8,R-ATH-1119300
AT5G11110,AT5G11110.1,W8QNB0,R-ATH-1119465
AT5G11110,AT5G11110.1,A0A178UE83,R-ATH-1119465
AT1G14080,AT1G14080.1,A0A178W536,R-ATH-5655101
AT1G14080,AT1G14080.1,W8QPA3,R-ATH-5655101
AT1G14080,AT1G14080.1,A0A178WGB9,R-ATH-5655101
AT1G14080,AT1G14080.1,W8Q7D0,R-ATH-5655101
AT5G64380,AT5G64380.1,Q9FMF1,R-ATH-1119519
AT5G64380,AT5G64380.1,A0A1S5M0M6,R-ATH-1119519
AT2G02080,AT2G02080.2,ND,R-ATH-5679411
AT2G02080,AT2G02080.3,ND,R-ATH-5679411
AT2G02080,AT2G02080.5,A0A178VMY3,R-ATH-5679411
AT2G02080,AT2G02080.4,ND,R-ATH-5679411
AT2G02080,AT2G02080.6,A0A178VUV8,R-ATH-5679411
AT2G02080,AT2G02080.1,ND,R-ATH-5679411
AT1G55110,AT1G55110.2,A0A178WJ89,R-ATH-5679411
AT1G55110,AT1G55110.1,A0A178WJ89,R-ATH-5679411
AT1G55110,AT1G55110.3,A0A178WJ89,R-ATH-5679411
AT3G62980,AT3G62980.1,A0A178VA54,R-ATH-5608118
AT3G62980,AT3G62980.1,D3K009,R-ATH-5608118
AT3G62980,AT3G62980.1,D3K010,R-ATH-5608118
AT3G62980,AT3G62980.1,D3K008,R-ATH-5608118
AT3G62980,AT3G62980.1,E1A696,R-ATH-5608118
AT3G62980,AT3G62980.1,E1A693,R-ATH-5608118
AT3G62980,AT3G62980.1,E1A694,R-ATH-5608118
AT3G62980,AT3G62980.1,D3K011,R-ATH-5608118
AT3G18070,AT3G18070.4,A0A1I9LMY0,R-ATH-1119284
AT3G18070,AT3G18070.7,A0A1I9LMX8,R-ATH-1119284
AT3G18070,AT3G18070.2,A0A178VCV0,R-ATH-1119284
AT3G18070,AT3G18070.1,ND,R-ATH-1119284
AT3G18070,AT3G18070.3,A0A1I9LMX6,R-ATH-1119284
AT3G18070,AT3G18070.3,A0A178VF10,R-ATH-1119284
AT3G18070,AT3G18070.6,A0A1I9LMX7,R-ATH-1119284
AT3G18070,AT3G18070.5,A0A1I9LMX9,R-ATH-1119284
AT1G63970,AT1G63970.2,A0A2H1ZEF4,R-ATH-1119464
AT1G63970,AT1G63970.1,A0A178W7L9,R-ATH-1119464
AT2G42500,AT2G42500.4,A0A1P8AYS4,R-ATH-5632095
AT2G42500,AT2G42500.5,A0A1P8AYV1,R-ATH-5632095
AT2G42500,AT2G42500.2,F4IN36,R-ATH-5632095
AT2G42500,AT2G42500.1,A0A178VSM5,R-ATH-5632095
AT2G42500,AT2G42500.3,F4IN38,R-ATH-5632095
AT4G15415,AT4G15415.5,Q0WNY8,R-ATH-5632095
AT4G15415,AT4G15415.5,A0A384KCM2,R-ATH-5632095
AT4G15415,AT4G15415.2,Q0WNY8,R-ATH-5632095
AT4G15415,AT4G15415.2,A0A384KCM2,R-ATH-5632095
AT4G15415,AT4G15415.4,Q0WNY8,R-ATH-5632095
AT4G15415,AT4G15415.4,A0A384KCM2,R-ATH-5632095
AT4G15415,AT4G15415.1,Q0WNY8,R-ATH-5632095
AT4G15415,AT4G15415.1,A0A384KCM2,R-ATH-5632095
AT4G15415,AT4G15415.3,A0A1P8B4K9,R-ATH-5632095
AT3G25585,AT3G25585.2,A0A178VCV8,R-ATH-1119276
AT3G25585,AT3G25585.5,A0A1I9LSC4,R-ATH-1119276
AT3G25585,AT3G25585.3,F4JA27,R-ATH-1119276
AT3G25585,AT3G25585.1,A0A178VCV8,R-ATH-1119276
AT3G25585,AT3G25585.4,A0A178VCV8,R-ATH-1119276
AT3G25585,AT3G25585.6,A0A1I9LSC4,R-ATH-1119276
